,X,Date,Boat,Sighting_Number,Species,Island_area,Location,Sighting_Cue,Sea_Conditions,Start.time,latitude,longitud,Start.depth,Start.distance.from.shore,Start.Behavior,End.time,End.latitude,End.longitude,DistanceStartEnd,Encounter.duration,Group.size..min.,Group.size..best.,Group.size..max.,Other.species.present,Other.species.present.2,DistToShore,Island,DistTo200m,W_L_WARD,StudyArea,FisheryZone,ZoneType,LonglineExAllYear,LonglineExFebSep,PMRF,EEZ,KalaupapaNP,KalaupapaDist,KalokoHonokohauNP,KalokoHonokohauDist,HumpbackSanctuary,HumpbackSanctuaryDist,NWHI_MNM,NWHI_MNM_Dist,Source,depth,aspect,slope,datetimeHST,datetimeUTC,JulianDate,sunrise,sunset,solarNoon,civilDawn,endDawn,civilDusk,startDusk,secNearestSunriseset,sunAzimuth,sunAltitude,moonAzimuth,moonAltitude,moonIlluminatedFraction,moonPhase,daylengthHr,daylengthCat,month,season,Island_group,dist_escarp,dist_canyon,dist_ridge,dist_seamount,dist_shelfH,dist_basin,dist_slope,dist_terrace
1,697,13-Apr-02,Wild Whale,1,Blainville's beaked whale,Hawaii,Offshore Honokohau,"Splash, blow, or fin",Beaufort 1,8:38,19.68154,-156.06359,1042,2.4,Slow travel,8:55,NA,NA,NA,0.28,1,1,1,Not recorded,,2319.658735,Hawai'i,1651.457211,leeward,TRUE,101,MHI Inshore,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,182379.3098,FALSE,2200.254888,FALSE,5113.236195,FALSE,620627.5994,50m HMRG multibeam,-1024.11064,256.7406711,30.13557791,4/13/2002,4/13/2002 10:00,2452377.917,4/13/2002 6:07,4/13/2002 18:41,4/13/2002 12:24,4/13/2002 5:45,4/13/2002 6:37,4/13/2002 19:04,4/13/2002 18:12,-19113,347.4214199,-60.61841909,332.1967239,-59.20486377,0.003372398,1,12.5624596,long,4,winter,Hawaii,0,25459.14701,62077.93554,59730.0907,2223.688036,128232.2793,0,25683.93617
2,701,24-Sep-02,Wild Whale/Black whale,1,Blainville's beaked whale,Hawaii,Off Honokohau 1 mi,Not recorded,Beaufort 2,13:56,19.66136,-156.04471,709,1.4,,16:21,NA,NA,NA,2.41,NA,9,NA,None,,1340.024276,Hawai'i,831.9148199,leeward,TRUE,101,MHI Inshore,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,185289.6315,FALSE,1385.732602,FALSE,7562.850464,FALSE,623504.8536,50m HMRG multibeam,-726.4501091,249.715455,22.04266552,9/24/2002,9/24/2002 10:00,2452541.917,9/24/2002 6:13,9/24/2002 18:18,9/24/2002 12:16,9/24/2002 5:51,9/24/2002 6:42,9/24/2002 18:40,9/24/2002 17:49,-20475,347.7948464,-70.40236714,102.7940792,55.57962405,0.929621418,3,12.08306942,long,9,summer,Hawaii,0,28220.06874,59982.44248,61467.02352,1391.487916,127951.5108,0,28482.15143
3,705,27-Sep-02,Wild Whale/Black whale,2,Cuvier's beaked whale,Hawaii,City of Refuge,"Splash, blow, or fin",Beaufort 1,8:55,19.3989,-155.98734,1600,4,Milling,19:00,19.36759,155.98233,3.521168197,10.08,4,5,NA,None,,7847.603392,Hawai'i,7137.115278,leeward,TRUE,121,MHI Coastal,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,213876.3898,FALSE,29835.19381,FALSE,37254.39063,FALSE,644576.6791,50m HMRG multibeam,-1600.128385,254.1108302,13.21772043,9/27/2002,9/27/2002 10:00,2452544.917,9/27/2002 6:13,9/27/2002 18:15,9/27/2002 12:14,9/27/2002 5:51,9/27/2002 6:42,9/27/2002 18:37,9/27/2002 17:46,-20648,347.8709864,-71.86675317,75.64860825,28.50585392,0.722309033,4,12.02860673,long,9,summer,Hawaii,0,24257.89808,32691.35084,67316.86009,7620.772617,123562.7964,0,57700.2226
4,711,29-Sep-02,Wild Whale,3,Cuvier's beaked whale,Hawaii,off Kona Surf 7 mi,"Splash, blow, or fin",Beaufort 1,15:58,19.51139,-156.0574,2087,10.2,Travel,17:24,NA,NA,NA,1.43,4,4,5,Pantropical spotted dolphin,,10209.28126,Hawai'i,6940.968038,leeward,TRUE,121,MHI Coastal,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,199444.7419,FALSE,17234.02916,FALSE,23964.68883,FALSE,631507.0648,50m HMRG multibeam,-2088.425519,175.116785,7.340197802,9/29/2002,9/29/2002 10:00,2452546.917,9/29/2002 6:14,9/29/2002 18:14,9/29/2002 12:14,9/29/2002 5:52,9/29/2002 6:43,9/29/2002 18:36,9/29/2002 17:45,-20739,347.7512212,-72.53888344,65.71712075,7.377755027,0.531221213,4,11.99147608,long,9,summer,Hawaii,0,34103.48957,43374.70206,60672.1044,7902.800379,136266.0964,0,43489.27397
5,713,29-Sep-02,Wild Whale/Black whale,2,Cuvier's beaked whale,Hawaii,6 km off Kailua-Kona,"Splash, blow, or fin",Beaufort 1,9:16,19.60343,-156.09091,2146,8.4,Travel,12:32,19.59775,156.1111,2.207363816,3.26,4,4,5,None,,8251.090975,Hawai'i,7107.081462,leeward,TRUE,121,MHI Coastal,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,188742.1911,FALSE,9216.582171,FALSE,13983.40956,FALSE,622955.6526,50m HMRG multibeam,-2138.271619,262.6751108,16.19374493,9/29/2002,9/29/2002 10:00,2452546.917,9/29/2002 6:14,9/29/2002 18:14,9/29/2002 12:14,9/29/2002 5:52,9/29/2002 6:43,9/29/2002 18:36,9/29/2002 17:45,-20732,347.7042128,-72.44223481,65.71845564,7.386821628,0.531221213,4,11.99091017,long,9,summer,Hawaii,0,33166.69673,53389.30529,56383.84043,7788.224665,135698.1586,0,32734.6593
6,714,30-Sep-02,Wild Whale,2,Cuvier's beaked whale,Hawaii,5mi off Kealaki kua bay,"Splash, blow, or fin",Beaufort 1,11:10,19.42591,-156.01134,1754,9.7,Surface/diving,12:06,19.42261,156.00241,1.005840894,0.93,2,2,4,None,,9186.732541,Hawai'i,8137.699914,leeward,TRUE,121,MHI Coastal,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,210078.0673,FALSE,26572.53159,FALSE,33848.79159,FALSE,640807.9759,50m HMRG multibeam,-1757.008759,279.4619559,3.293691118,9/30/2002,9/30/2002 10:00,2452547.917,9/30/2002 6:14,9/30/2002 18:13,9/30/2002 12:13,9/30/2002 5:52,9/30/2002 6:43,9/30/2002 18:34,9/30/2002 17:43,-20801,347.8561467,-73.02881034,61.33558169,-3.842811564,0.42733671,4,11.97377951,long,9,summer,Hawaii,0,25994.21281,34820.79336,66100.28302,8919.20798,127233.8704,0,54011.2773
7,729,7-May-03,New whaler,2,Blainville's beaked whale,Hawaii,off Kauluoa Point,"Splash, blow, or fin",Beaufort 1,11:53,19.31899,-155.92029,1229,3.2,milling,12:51,19.30915,155.92191,1.107353802,0.96,7,7,9,None,,3092.98945,Hawai'i,2457.713207,leeward,TRUE,101,MHI Inshore,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,224949.5265,FALSE,40052.96338,FALSE,47656.9569,FALSE,655397.0322,50m HMRG multibeam,-1222.608683,234.2543509,11.20407833,5/7/2003,5/7/2003 10:00,2452766.917,5/7/2003 5:52,5/7/2003 18:48,5/7/2003 12:20,5/7/2003 5:28,5/7/2003 6:22,5/7/2003 19:11,5/7/2003 18:18,-18705,351.8173527,-53.5845265,299.21538,-4.14086288,0.291239515,2,12.93830237,long,5,spring,Hawaii,0,22078.84705,28413.43539,58536.83955,3189.042765,113163.1845,0,68456.88129
8,3,30-May-03,New whaler,2,Blainville's beaked whale,Kauai,NNW of Kilauea,"Splash, blow, or fin",Beaufort 3,8:53,22.26763,-159.41527,886,4.3,milling,9:28,22.26834,159.41479,0.093132144,0.58,1,1,1,None,,4113.540317,Kauai,1659.691259,windward,FALSE,523,MHI Coastal,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,275207.085,FALSE,451640.659,FALSE,1730.176078,FALSE,179413.066,50m HMRG multibeam,-890.0392153,52.03433359,19.18748721,5/30/2003,5/30/2003 10:00,2452789.917,5/30/2003 5:53,5/30/2003 19:16,5/30/2003 12:35,5/30/2003 5:28,5/30/2003 6:25,5/30/2003 19:41,5/30/2003 18:44,-16990,348.4000344,-45.17116247,0.043515818,-47.4660951,0.005328224,1,13.39034632,long,5,spring,Kauai,0,11237.39998,44585.8278,103069.6721,2884.16182,281977.4553,0,87523.75133
9,29,5-Jun-03,Ala Kazam,1,Blainville's beaked whale,Kauai,NNW of Kilauea,"Splash, blow, or fin",Beaufort 1,9:55,22.27995,-159.44273,1234,5.7,milling,10:32,22.28464,159.43813,0.704302695,0.61,2,2,4,None,,6109.776461,Kauai,2743.139467,windward,FALSE,523,MHI Coastal,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,278347.5717,FALSE,454703.7673,FALSE,3028.36195,FALSE,176293.3733,50m HMRG multibeam,-1232.159857,305.5893262,16.041539,6/5/2003,6/5/2003 10:00,2452795.917,6/5/2003 5:53,6/5/2003 19:19,6/5/2003 12:36,6/5/2003 5:28,6/5/2003 6:25,6/5/2003 19:44,6/5/2003 18:47,-16832,348.2901783,-44.34223796,295.836538,-5.455753949,0.249655789,2,13.44173959,long,6,spring,Kauai,0,9428.802663,41946.96006,105890.3828,4318.092482,285007.7988,0,90658.59608
10,31,5-Jun-03,Ala Kazam,4,Blainville's beaked whale,Kauai,N of Hanalei,"Splash, blow, or fin",Beaufort 1,13:33,22.29033,-159.49829,620,6.4,milling,14:00,22.29272,159.49948,0.292620207,0.45,7,7,8,None,,6850.122903,Kauai,2644.942893,windward,FALSE,523,MHI Coastal,TRUE,TRUE,FALSE,United States Exclusive Exclusive Economic Zone (Hawaii),FALSE,284016.9635,FALSE,459909.3231,FALSE,2665.638192,FALSE,170510.0284,50m HMRG multibeam,-617.659627,64.90267278,13.86419897,6/5/2003,6/5/2003 10:00,2452795.917,6/5/2003 5:53,6/5/2003 19:19,6/5/2003 12:36,6/5/2003 5:28,6/5/2003 6:25,6/5/2003 19:44,6/5/2003 18:47,-16818,348.2219994,-44.32161134,295.814228,-5.404956534,0.249655789,2,13.44243492,long,6,spring,Kauai,0,9438.956457,36482.43903,111655.0416,3590.491629,290895.6798,0,96169.23733
