Date,Boat,Sighting_Number,Species,Island_area,Sighting_Cue,Sea_Conditions,Start.time,latitude,longitud,Start.depth,End.time,Encounter.duration,Group.size..min.,Group.size..best.,Group.size..max.,datetimeHST,datetimeUTC,month,year,datetime_pdt
13-Apr-02,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,8:38,19.68154,-156.06359,1042,8:55,0.28,1,1,1,4/13/02,4/13/02 10:00,4,2002,4/13/02 10:00
24-Sep-02,Wild Whale/Black whale,1,Blainville's beaked whale,Hawaii,Not recorded,Beaufort 2,13:56,19.66136,-156.04471,709,16:21,2.41,NA,9,NA,9/24/02,9/24/02 10:00,9,2002,9/24/02 10:00
27-Sep-02,Wild Whale/Black whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,8:55,19.3989,-155.98734,1600,19:00,10.08,4,5,NA,9/27/02,9/27/02 10:00,9,2002,9/27/02 10:00
29-Sep-02,Wild Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,15:58,19.51139,-156.0574,2087,17:24,1.43,4,4,5,9/29/02,9/29/02 10:00,9,2002,9/29/02 10:00
29-Sep-02,Wild Whale/Black whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,9:16,19.60343,-156.09091,2146,12:32,3.26,4,4,5,9/29/02,9/29/02 10:00,9,2002,9/29/02 10:00
30-Sep-02,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,11:10,19.42591,-156.01134,1754,12:06,0.93,2,2,4,9/30/02,9/30/02 10:00,9,2002,9/30/02 10:00
7-May-03,New whaler,2,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,11:53,19.31899,-155.92029,1229,12:51,0.96,7,7,9,5/7/03,5/7/03 10:00,5,2003,5/7/03 10:00
10-Oct-03,Wild Whale/New whaler,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,12:20,19.28786,-155.97932,2380,12:49,0.48,2,2,2,10/10/03,10/10/03 10:00,10,2003,10/10/03 10:00
12-Oct-03,Wild Whale/New whaler,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,9:57,19.28927,-156.07687,3242,12:48,2.85,3,3,3,10/12/03,10/12/03 10:00,10,2003,10/12/03 10:00
15-Oct-03,Wild Whale,2,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,10:08,19.29383,-155.91086,1022,11:04,0.93,1,1,2,10/15/03,10/15/03 10:00,10,2003,10/15/03 10:00
16-Oct-03,New whaler,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,9:37,19.44803,-156.067,2454,10:10,0.54,1,1,1,10/16/03,10/16/03 10:00,10,2003,10/16/03 10:00
17-Oct-03,Wild Whale/New whaler,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,10:50,19.32672,-155.91008,996,12:53,2.05,1,1,1,10/17/03,10/17/03 10:00,10,2003,10/17/03 10:00
19-Oct-03,Wild Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,9:45,19.74232,-156.12666,1791,11:34,1.81,2,2,2,10/19/03,10/19/03 10:00,10,2003,10/19/03 10:00
