objectid,water,sqmi,isle,totsqmi,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_perimetershape
1,0,554.722,Kauai,554.722, , ,1899/12/30 00:00:00+00,{48E33DCC-4DD7-4387-8928-A02D83F9AAEB},,,,2016/09/13 00:00:00+00,,,,1436728537.27037,201403.677832286
2,0,0.424376,Niihau,72.3687, , ,1899/12/30 00:00:00+00,{27E5BE15-4622-4A10-A364-2AC06476F3FB},,,,2016/09/13 00:00:00+00,,,,1099133.45384814,6195.8709154665
3,0,71.9443,Niihau,72.3687, , ,1899/12/30 00:00:00+00,{40D98504-C043-410B-B68E-32EA92678F0D},,,,2016/09/13 00:00:00+00,,,,186335513.679275,83549.7165608503
4,0,597.069,Oahu,598.92, , ,1899/12/30 00:00:00+00,{C54FC846-8A66-45DB-AB2F-1BEA3891B5CA},,,,2016/09/13 00:00:00+00,,,,1546408035.6035,381624.269180882
5,0,0.71233,Oahu,598.92, , ,1899/12/30 00:00:00+00,{1C2967E7-3099-42C8-84ED-1D3481F90CDE},,,,2016/09/13 00:00:00+00,,,,1844934.17917069,7897.71331022151
6,1,0.33855,Oahu,598.92, , ,1899/12/30 00:00:00+00,{E410EDB3-B8F9-40A2-AA6E-3ECCA80A8DC6},,,,2016/09/13 00:00:00+00,,,,876843.661854308,4463.0741559399
7,0,0.800237,Oahu,598.92, , ,1899/12/30 00:00:00+00,{16151EC0-015A-4A6B-BCB8-B3D372473F79},,,,2016/09/13 00:00:00+00,,,,2072611.99468206,7228.80253522302
8,0,260.725,Molokai,260.725, , ,1899/12/30 00:00:00+00,{DB68212A-2B3D-4F6C-9192-3CEDC177A200},,,,2016/09/13 00:00:00+00,,,,675276823.279778,191967.65786447
9,0,728.832,Maui,728.832, , ,1899/12/30 00:00:00+00,{6A377BBF-8833-40A2-83CB-91DFCCF9CC6A},,,,2016/09/13 00:00:00+00,,,,1887674727.22855,309213.833745561
10,0,141.082,Lanai,141.082, , ,1899/12/30 00:00:00+00,{9DCFCFD5-AF04-4AC0-B45F-58B462915DAD},,,,2016/09/13 00:00:00+00,,,,365402133.01177,93216.9188832126
11,0,0.0308222,kahoolawe,44.6371, , ,1899/12/30 00:00:00+00,{E5DEBC32-1933-4543-88CE-9EA760E98D77},,,,2016/09/13 00:00:00+00,,,,79829.5049118356,1977.21081004735
12,0,44.6063,kahoolawe,44.6371, , ,1899/12/30 00:00:00+00,{40E089ED-B221-49C0-9755-E4B977EE3BAD},,,,2016/09/13 00:00:00+00,,,,115530372.108076,69408.8207652006
13,0,4038.13,Hawaii,4038.13, , ,1899/12/30 00:00:00+00,{EECDAC39-9646-430E-85FA-DF18E2359716},,,,2016/09/13 00:00:00+00,,,,10458760465.0516,640064.230441526
