"","YEAR","month","MEI","Year"
"1.1",2000,1,-1.2,1
"2.1",2001,1,-0.8,2
"3.1",2002,1,-0.1,3
"4.1",2003,1,0.7,4
"5.1",2004,1,0.1,5
"6.1",2005,1,0.1,6
"7.1",2006,1,-0.7,7
"8.1",2007,1,0.6,8
"9.1",2008,1,-1.1,9
"10.1",2009,1,-1,10
"11.1",2010,1,1,11
"12.1",2011,1,-1.9,12
"13.1",2012,1,-1.1,13
"14.1",2013,1,0,14
"15.1",2014,1,-0.5,15
"16.1",2015,1,0.2,16
"17.1",2016,1,1.9,17
"18.1",2017,1,-0.2,18
"19.1",2018,1,-0.8,19
"20.1",2019,1,0,20
"21.1",2020,1,0.2,21
"22.1",2021,1,-1.2,22
"23.1",2022,1,-1.1,23
"1.2",2000,2,-1.2,1
"2.2",2001,2,-0.8,2
"3.2",2002,2,-0.4,3
"4.2",2003,2,0.6,4
"5.2",2004,2,-0.1,5
"6.2",2005,2,0.6,6
"7.2",2006,2,-0.5,7
"8.2",2007,2,0.5,8
"9.2",2008,2,-1.2,9
"10.2",2009,2,-0.9,10
"11.2",2010,2,1.3,11
"12.2",2011,2,-1.6,12
"13.2",2012,2,-0.7,13
"14.2",2013,2,0,14
"15.2",2014,2,-0.4,15
"16.2",2015,2,0,16
"17.2",2016,2,1.8,17
"18.2",2017,2,-0.2,18
"19.2",2018,2,-0.7,19
"20.2",2019,2,0.5,20
"21.2",2020,2,0.1,21
"22.2",2021,2,-0.9,22
"23.2",2022,2,-1,23
"1.3",2000,3,-1.4,1
"2.3",2001,3,-0.7,2
"3.3",2002,3,-0.3,3
"4.3",2003,3,0.6,4
"5.3",2004,3,-0.5,5
"6.3",2005,3,0.8,6
"7.3",2006,3,-0.6,7
"8.3",2007,3,-0.1,8
"9.3",2008,3,-1.6,9
"10.3",2009,3,-0.9,10
"11.3",2010,3,1.3,11
"12.3",2011,3,-1.8,12
"13.3",2012,3,-0.6,13
"14.3",2013,3,-0.2,14
"15.3",2014,3,-0.2,15
"16.3",2015,3,0.1,16
"17.3",2016,3,1.3,17
"18.3",2017,3,-0.5,18
"19.3",2018,3,-0.9,19
"20.3",2019,3,0.7,20
"21.3",2020,3,0.1,21
"22.3",2021,3,-0.8,22
"23.3",2022,3,-1.3,23
"1.4",2000,4,-1,1
"2.4",2001,4,-0.7,2
"3.4",2002,4,-0.4,3
"4.4",2003,4,0,4
"5.4",2004,4,-0.3,5
"6.4",2005,4,0.1,6
"7.4",2006,4,-0.8,7
"8.4",2007,4,-0.5,8
"9.4",2008,4,-1.3,9
"10.4",2009,4,-0.7,10
"11.4",2010,4,0.4,11
"12.4",2011,4,-1.9,12
"13.4",2012,4,-0.5,13
"14.4",2013,4,-0.4,14
"15.4",2014,4,-0.2,15
"16.4",2015,4,0.5,16
"17.4",2016,4,1.2,17
"18.4",2017,4,-0.4,18
"19.4",2018,4,-1.3,19
"20.4",2019,4,0.3,20
"21.4",2020,4,-0.1,21
"22.4",2021,4,-1,22
"23.4",2022,4,-1.8,23
"1.5",2000,5,-1.2,1
"2.5",2001,5,-0.8,2
"3.5",2002,5,-0.1,3
"4.5",2003,5,-0.5,4
"5.5",2004,5,-0.4,5
"6.5",2005,5,0.1,6
"7.5",2006,5,-0.3,7
"8.5",2007,5,-0.6,8
"9.5",2008,5,-1,9
"10.5",2009,5,-0.6,10
"11.5",2010,5,-0.5,11
"12.5",2011,5,-1.3,12
"13.5",2012,5,-0.4,13
"14.5",2013,5,-0.9,14
"15.5",2014,5,-0.3,15
"16.5",2015,5,1.2,16
"17.5",2016,5,1.1,17
"18.5",2017,5,-0.1,18
"19.5",2018,5,-0.9,19
"20.5",2019,5,0.2,20
"21.5",2020,5,-0.4,21
"22.5",2021,5,-1.2,22
"23.5",2022,5,-1.9,23
"1.6",2000,6,-1.1,1
"2.6",2001,6,-0.6,2
"3.6",2002,6,0.4,3
"4.6",2003,6,-0.2,4
"5.6",2004,6,0,5
"6.6",2005,6,0.1,6
"7.6",2006,6,-0.1,7
"8.6",2007,6,-1,8
"9.6",2008,6,-0.8,9
"10.6",2009,6,0.3,10
"11.6",2010,6,-1.7,11
"12.6",2011,6,-1.1,12
"13.6",2012,6,-0.1,13
"14.6",2013,6,-1.1,14
"15.6",2014,6,0,15
"16.6",2015,6,1.7,16
"17.6",2016,6,0.2,17
"18.6",2017,6,-0.6,18
"19.6",2018,6,-0.6,19
"20.6",2019,6,0.3,20
"21.6",2020,6,-0.9,21
"22.6",2021,6,-1.3,22
"23.6",2022,6,-2.1,23
"1.7",2000,7,-0.6,1
"2.7",2001,7,0,2
"3.7",2002,7,0.4,3
"4.7",2003,7,-0.1,4
"5.7",2004,7,0.4,5
"6.7",2005,7,-0.1,6
"7.7",2006,7,0.2,7
"8.7",2007,7,-0.6,8
"9.7",2008,7,-0.9,9
"10.7",2009,7,0.6,10
"11.7",2010,7,-2.5,11
"12.7",2011,7,-0.9,12
"13.7",2012,7,0.4,13
"14.7",2013,7,-0.8,14
"15.7",2014,7,0.4,15
"16.7",2015,7,1.7,16
"17.7",2016,7,-0.5,17
"18.7",2017,7,-0.9,18
"19.7",2018,7,-0.3,19
"20.7",2019,7,0.2,20
"21.7",2020,7,-0.9,21
"22.7",2021,7,-1.5,22
"23.7",2022,7,-2.1,23
"1.8",2000,8,-0.2,1
"2.8",2001,8,0.2,2
"3.8",2002,8,0.8,3
"4.8",2003,8,0,4
"5.8",2004,8,0.7,5
"6.8",2005,8,0,6
"7.8",2006,8,0.6,7
"8.8",2007,8,-0.9,8
"9.8",2008,8,-1,9
"10.8",2009,8,0.5,10
"11.8",2010,8,-2.5,11
"12.8",2011,8,-0.9,12
"13.8",2012,8,0,13
"14.8",2013,8,-0.5,14
"15.8",2014,8,0.2,15
"16.8",2015,8,1.9,16
"17.8",2016,8,-0.2,17
"18.8",2017,8,-0.9,18
"19.8",2018,8,0.1,19
"20.8",2019,8,0.3,20
"21.8",2020,8,-0.9,21
"22.8",2021,8,-1.3,22
"23.8",2022,8,-1.8,23
"1.9",2000,9,-0.3,1
"2.9",2001,9,-0.1,2
"3.9",2002,9,0.7,3
"4.9",2003,9,0.1,4
"5.9",2004,9,0.5,5
"6.9",2005,9,-0.1,6
"7.9",2006,9,0.6,7
"8.9",2007,9,-1.1,8
"9.9",2008,9,-1,9
"10.9",2009,9,0.4,10
"11.9",2010,9,-2.4,11
"12.9",2011,9,-1.2,12
"13.9",2012,9,-0.3,13
"14.9",2013,9,-0.4,14
"15.9",2014,9,-0.1,15
"16.9",2015,9,2.1,16
"17.9",2016,9,-0.3,17
"18.9",2017,9,-0.8,18
"19.9",2018,9,0.5,19
"20.9",2019,9,0.1,20
"21.9",2020,9,-1.2,21
"22.9",2021,9,-1.4,22
"23.9",2022,9,-1.8,23
"1.10",2000,10,-0.5,1
"2.10",2001,10,-0.3,2
"3.10",2002,10,0.7,3
"4.10",2003,10,0.3,4
"5.10",2004,10,0.3,5
"6.10",2005,10,-0.8,6
"7.10",2006,10,0.6,7
"8.10",2007,10,-1.2,8
"9.10",2008,10,-1.1,9
"10.10",2009,10,0.6,10
"11.10",2010,10,-2.2,11
"12.10",2011,10,-1.4,12
"13.10",2012,10,-0.2,13
"14.10",2013,10,-0.2,14
"15.10",2014,10,0,15
"16.10",2015,10,2.1,16
"17.10",2016,10,-0.5,17
"18.10",2017,10,-0.6,18
"19.10",2018,10,0.4,19
"20.10",2019,10,0.2,20
"21.10",2020,10,-1.2,21
"22.10",2021,10,-1.5,22
"23.10",2022,10,-1.7,23
"1.11",2000,11,-0.8,1
"2.11",2001,11,-0.4,2
"3.11",2002,11,0.7,3
"4.11",2003,11,0.4,4
"5.11",2004,11,0.4,5
"6.11",2005,11,-0.8,6
"7.11",2006,11,0.8,7
"8.11",2007,11,-1.2,8
"9.11",2008,11,-1.1,9
"10.11",2009,11,1.2,10
"11.11",2010,11,-2.1,11
"12.11",2011,11,-1.3,12
"13.11",2012,11,-0.2,13
"14.11",2013,11,-0.2,14
"15.11",2014,11,0.3,15
"16.11",2015,11,1.9,16
"17.11",2016,11,-0.3,17
"18.11",2017,11,-0.5,18
"19.11",2018,11,0.2,19
"20.11",2019,11,0.4,20
"21.11",2020,11,-1.1,21
"22.11",2021,11,-1.4,22
"23.11",2022,11,-1.5,23
"1.12",2000,12,-0.7,1
"2.12",2001,12,-0.1,2
"3.12",2002,12,0.8,3
"4.12",2003,12,0.2,4
