animal,ptt,datetime_utc,longitud,latitude,LC,error_radius,ellipse_orient,semi_major,semi_minor,LocType,sat_count
MdTag001,10500,11/22/2006 22:47,-156.19688,19.92895,DP,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,11/24/2006 3:54,-156.174,19.956,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,11/25/2006 11:42,-156.11,19.983,LB,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,11/27/2006 4:22,-156.021,20.406,L2,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,11/28/2006 11:15,-156.075,20.394,L0,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/1/2006 4:29,-156.093,20.329,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/4/2006 3:17,-156.032,20.211,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/5/2006 11:46,-156.077,20.235,L3,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/6/2006 16:37,-156.071,20.162,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/9/2006 3:05,-156.092,20.142,L1,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/14/2006 16:49,-156.02,20.484,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/15/2006 3:53,-155.888,20.409,LB,NA,NA,NA,NA,Least sqaures,NA
MdTag001,10500,12/15/2006 16:22,-155.994,20.366,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/23/2006 0:23,-156.1487,19.83433,DP,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/23/2006 16:47,-156.18,20.011,L2,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/24/2006 11:57,-156.177,20.08,L0,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/24/2006 16:18,-156.21,20.085,LZ,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/25/2006 3:33,-156.153,20.032,L0,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/25/2006 11:52,-156.374,20.066,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/26/2006 11:38,-156.329,20.143,L1,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/27/2006 4:28,-156.284,20.271,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,11/28/2006 3:35,-156.22,20.21,LB,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,12/4/2006 3:20,-156.112,20.357,L2,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,12/4/2006 4:56,-156.148,20.318,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,12/6/2006 16:34,-156.051,20.368,LA,NA,NA,NA,NA,Least sqaures,NA
MdTag002,23747,12/8/2006 3:21,-156.085,20.382,LB,NA,NA,NA,NA,Least sqaures,NA
