animal,timestamp,lon,lat,datetime_utc,datetime_hst,month,year,season,tod,nearest_island,w_l_ward,date,Date,moon.phase,MEI,Periodmei,Periodmeifull
MdTag001,12/14/2006 19:00,-156.0146063,20.47105971,12/14/2006 19:00,12/14/2006 9:00,12,2006,fall,Day,Maui,leeward,12/14/2006 19:00,12/14/2006,3rd Quarter,0.6,EN,El Niño
MdTag001,12/14/2006 23:00,-156.0078803,20.4547686,12/14/2006 23:00,12/14/2006 13:00,12,2006,fall,Day,Maui,leeward,12/14/2006 23:00,12/14/2006,3rd Quarter,0.6,EN,El Niño
MdTag001,12/15/2006 3:00,-156.0018174,20.4349669,12/15/2006 3:00,12/14/2006 17:00,12,2006,fall,Day,Hawai'i,leeward,12/15/2006 3:00,12/15/2006,3rd Quarter,0.6,EN,El Niño
MdTag001,12/15/2006 7:00,-155.9976691,20.41397015,12/15/2006 7:00,12/14/2006 21:00,12,2006,fall,Night,Hawai'i,leeward,12/15/2006 7:00,12/15/2006,3rd Quarter,0.6,EN,El Niño
MdTag001,12/15/2006 11:00,-155.9952822,20.39361371,12/15/2006 11:00,12/15/2006 1:00,12,2006,fall,Night,Hawai'i,leeward,12/15/2006 11:00,12/15/2006,3rd Quarter,0.6,EN,El Niño
MdTag001,12/15/2006 15:00,-155.993953,20.37567066,12/15/2006 15:00,12/15/2006 5:00,12,2006,fall,Night,Hawai'i,leeward,12/15/2006 15:00,12/15/2006,3rd Quarter,0.6,EN,El Niño
MdTag002,11/23/2006 1:00,-156.149874,19.84094888,11/23/2006 1:00,11/22/2006 15:00,11,2006,fall,Day,Hawai'i,leeward,11/23/2006 1:00,11/23/2006,New Moon,0.8,EN,El Niño
MdTag002,11/23/2006 5:00,-156.1574812,19.88382909,11/23/2006 5:00,11/22/2006 19:00,11,2006,fall,Night,Hawai'i,leeward,11/23/2006 5:00,11/23/2006,New Moon,0.8,EN,El Niño
MdTag002,11/23/2006 9:00,-156.165091,19.92671286,11/23/2006 9:00,11/22/2006 23:00,11,2006,fall,Night,Hawai'i,leeward,11/23/2006 9:00,11/23/2006,New Moon,0.8,EN,El Niño
MdTag002,11/23/2006 13:00,-156.1727035,19.96960023,11/23/2006 13:00,11/23/2006 3:00,11,2006,fall,Night,Hawai'i,leeward,11/23/2006 13:00,11/23/2006,New Moon,0.8,EN,El Niño
MdTag002,11/23/2006 17:00,-156.1801486,20.01076334,11/23/2006 17:00,11/23/2006 7:00,11,2006,fall,Dusk,Hawai'i,leeward,11/23/2006 17:00,11/23/2006,New Moon,0.8,EN,El Niño
MdTag002,11/23/2006 21:00,-156.1844057,20.01952507,11/23/2006 21:00,11/23/2006 11:00,11,2006,fall,Day,Hawai'i,leeward,11/23/2006 21:00,11/23/2006,New Moon,0.8,EN,El Niño
MdTag002,11/24/2006 1:00,-156.1886632,20.0282869,11/24/2006 1:00,11/23/2006 15:00,11,2006,fall,Day,Hawai'i,leeward,11/24/2006 1:00,11/24/2006,1st Quarter,0.8,EN,El Niño
MdTag002,11/24/2006 5:00,-156.1929209,20.03704883,11/24/2006 5:00,11/23/2006 19:00,11,2006,fall,Night,Hawai'i,leeward,11/24/2006 5:00,11/24/2006,1st Quarter,0.8,EN,El Niño
MdTag002,11/24/2006 9:00,-156.197179,20.04581084,11/24/2006 9:00,11/23/2006 23:00,11,2006,fall,Night,Hawai'i,leeward,11/24/2006 9:00,11/24/2006,1st Quarter,0.8,EN,El Niño
MdTag002,11/24/2006 13:00,-156.2031076,20.05258887,11/24/2006 13:00,11/24/2006 3:00,11,2006,fall,Night,Hawai'i,leeward,11/24/2006 13:00,11/24/2006,1st Quarter,0.8,EN,El Niño
MdTag002,11/24/2006 17:00,-156.2137817,20.05372981,11/24/2006 17:00,11/24/2006 7:00,11,2006,fall,Dusk,Hawai'i,leeward,11/24/2006 17:00,11/24/2006,1st Quarter,0.8,EN,El Niño
MdTag002,11/24/2006 21:00,-156.2244559,20.05487033,11/24/2006 21:00,11/24/2006 11:00,11,2006,fall,Day,Hawai'i,leeward,11/24/2006 21:00,11/24/2006,1st Quarter,0.8,EN,El Niño
MdTag002,11/25/2006 1:00,-156.2351301,20.05601043,11/25/2006 1:00,11/24/2006 15:00,11,2006,fall,Day,Hawai'i,leeward,11/25/2006 1:00,11/25/2006,1st Quarter,0.8,EN,El Niño
