animal,ptt,datetime_utc,longitud,latitude,LC,error_radius,ellipse_orient,semi_major,semi_minor
ZcTag002,83741,5/5/2008 18:52,-156.03265,19.46356,DP,,,,
ZcTag002,83741,5/5/2008 20:24,-156.06393,19.4686,L0,5859,99,24569,1397
ZcTag002,83741,5/7/2008 0:11,-156.01191,19.51719,L0,6488,106,18308,2299
ZcTag002,83741,5/7/2008 3:12,-155.97317,19.56183,L0,20576,77,968766,437
ZcTag002,83741,5/7/2008 14:04,-156.06018,19.68188,LA,8635,34,23097,3228
ZcTag002,83741,5/7/2008 15:27,-156.06621,19.66568,LB,10565,72,16427,6794
ZcTag002,83741,5/7/2008 15:49,-156.06564,19.6624,LB,6473,79,11828,3542
ZcTag002,83741,5/7/2008 19:37,-156.08075,19.6406,LB,5599,65,7683,4079
ZcTag002,83741,5/8/2008 2:58,-156.07354,19.53509,LB,5334,50,6398,4446
ZcTag002,83741,5/8/2008 15:21,-156.02541,19.3375,L1,764,94,1932,302
ZcTag002,83741,5/8/2008 15:26,-156.02491,19.33322,LB,3812,94,4269,3403
ZcTag002,83741,5/8/2008 16:55,-156.00265,19.33791,L0,2109,97,9788,454
ZcTag002,83741,5/8/2008 19:24,-155.98938,19.26827,LB,2276,96,3807,1360
ZcTag002,83741,5/8/2008 19:50,-155.98885,19.25578,L0,1821,90,22086,150
ZcTag002,83741,5/8/2008 20:56,-155.93044,19.23323,L0,2687,122,22272,324
ZcTag002,83741,5/9/2008 2:33,-155.96921,19.06036,LB,2461,94,15321,395
ZcTag002,83741,5/9/2008 16:48,-155.97491,18.93834,LB,38411,126,47011,31383
ZcTag002,83741,5/10/2008 3:43,-155.91814,18.90918,LB,9481,69,21828,4118
ZcTag002,83741,5/10/2008 14:30,-155.99891,19.01518,LA,7107,131,34857,1449
ZcTag002,83741,5/10/2008 16:08,-155.96861,19.03249,LB,5848,124,15314,2233
ZcTag002,83741,5/10/2008 19:17,-155.95495,19.00673,L1,1243,110,8578,180
ZcTag002,83741,5/10/2008 20:52,-155.93794,19.00344,L1,795,70,3324,190
ZcTag002,83741,5/10/2008 21:50,-155.9531,18.97182,LA,2091,95,3751,1165
ZcTag002,83741,5/11/2008 2:12,-156.00198,18.97075,L1,726,52,2519,209
ZcTag002,83741,5/11/2008 14:50,-155.99166,19.01178,L1,1326,89,7232,243
ZcTag002,83741,5/12/2008 3:41,-155.98454,18.94536,LA,2147,113,12256,376
ZcTag002,83741,5/12/2008 15:27,-156.11352,19.09184,L1,671,101,5057,89
ZcTag002,83741,5/12/2008 16:59,-156.08643,19.09268,LA,4484,105,8491,2367
ZcTag002,83741,5/12/2008 19:32,-156.03716,19.08107,LA,1351,108,1946,937
ZcTag002,83741,5/12/2008 20:16,-156.02468,19.07986,L1,1104,99,16446,74
ZcTag002,83741,5/13/2008 13:20,-155.94572,19.0173,L0,7704,117,36584,1622
ZcTag002,83741,5/13/2008 19:49,-155.96201,19.00615,L2,477,98,1802,126
ZcTag002,83741,5/13/2008 20:43,-156.01225,19.06829,L2,323,95,914,114
ZcTag002,83741,5/13/2008 22:49,-155.9949,19.12601,L0,4862,69,23824,992
ZcTag002,83741,5/14/2008 0:29,-155.98754,19.11784,L1,1065,68,7704,147
ZcTag002,83741,5/14/2008 1:37,-155.97622,19.07917,L1,1256,16,3259,484
ZcTag002,83741,5/14/2008 3:14,-155.98778,19.09052,L0,4791,46,22282,1030
ZcTag002,83741,5/14/2008 15:50,-155.96815,19.02365,L0,1791,112,13186,243
ZcTag002,83741,5/14/2008 16:15,-155.95907,19.03731,L0,2884,78,13200,630
ZcTag002,83741,5/14/2008 19:27,-155.98856,19.00973,L1,581,94,2985,113
ZcTag002,83741,5/14/2008 21:11,-155.9777,19.0236,L1,795,4,2419,261
ZcTag002,83741,5/14/2008 22:03,-155.9745,19.02974,LB,2391,95,2728,2095
ZcTag002,83741,5/14/2008 22:37,-155.97172,19.03247,LB,2759,99,3348,2273
ZcTag002,83741,5/15/2008 3:13,-155.95697,19.04974,L0,6319,101,21421,1864
ZcTag002,83741,5/15/2008 14:14,-155.92648,19.05995,L0,10034,53,43392,2320
ZcTag002,83741,5/15/2008 15:45,-155.92517,19.04358,L0,3117,84,22069,440
ZcTag002,83741,5/15/2008 19:10,-155.95648,19.00761,L2,406,31,701,234
ZcTag002,83741,5/15/2008 20:49,-155.95977,19.00269,L1,896,62,3298,243
ZcTag002,83741,5/15/2008 22:33,-156.00402,18.96271,L0,2228,119,8231,603
ZcTag002,83741,5/16/2008 1:13,-156.02318,18.93407,LA,4758,26,10394,2178
ZcTag002,83741,5/16/2008 15:25,-156.05066,18.95977,LB,600,107,3628,99
ZcTag002,83741,5/16/2008 15:26,-156.05097,18.96045,L0,2047,108,37739,111
ZcTag002,83741,5/17/2008 0:06,-155.98937,18.97735,L0,2233,100,12983,384
ZcTag002,83741,5/17/2008 15:09,-155.98603,18.99867,LA,2298,104,3255,1621
ZcTag002,83741,5/17/2008 15:16,-155.97689,19.00041,L1,1469,105,12318,175
ZcTag002,83741,5/17/2008 16:47,-156.02992,19.06945,L0,5219,116,29725,916
ZcTag002,83741,5/17/2008 20:07,-156.0252,19.03969,L0,4533,103,97356,211
ZcTag002,83741,5/18/2008 2:26,-156.00353,18.91122,L0,6655,110,14253,3107
ZcTag002,83741,5/18/2008 3:55,-155.91164,18.89387,L0,2865,80,23106,355
ZcTag003,23747,5/5/2008 19:14,-156.03304,19.46877,DP,,,,
ZcTag003,23747,5/5/2008 20:24,-156.07411,19.46056,L0,6143,105,15656,2410
ZcTag003,23747,5/6/2008 3:17,-156.09576,19.40824,LA,6234,108,19209,2023
ZcTag003,23747,5/6/2008 3:45,-156.08902,19.40681,LB,5306,110,14316,1966
ZcTag003,23747,5/7/2008 0:11,-156.03708,19.52061,LB,9515,91,17367,5212
ZcTag003,23747,5/7/2008 3:14,-156.02723,19.52159,L0,3185,77,112700,90
