animal,timestamp,lon,lat,datetime_utc,datetime_hst,date_utc,month,year,season,Date,MEI,Periodmei,MeiStrength,Periodmeifull
ZcTag002,5/5/2008 19:00,-156.0328031,19.46361096,5/5/2008 19:00,5/5/2008 9:00,5/5/2008,5,2008,spring,5/5/2008,-1,LN,Moderate,La Niña
ZcTag002,5/5/2008 23:00,-156.0365906,19.47038286,5/5/2008 23:00,5/5/2008 13:00,5/5/2008,5,2008,spring,5/5/2008,-1,LN,Moderate,La Niña
ZcTag002,5/6/2008 3:00,-156.0390804,19.47972128,5/6/2008 3:00,5/5/2008 17:00,5/6/2008,5,2008,spring,5/6/2008,-1,LN,Moderate,La Niña
ZcTag002,5/6/2008 7:00,-156.0415704,19.48905984,5/6/2008 7:00,5/5/2008 21:00,5/6/2008,5,2008,spring,5/6/2008,-1,LN,Moderate,La Niña
ZcTag002,5/6/2008 11:00,-156.0440607,19.49839855,5/6/2008 11:00,5/6/2008 1:00,5/6/2008,5,2008,spring,5/6/2008,-1,LN,Moderate,La Niña
ZcTag002,5/6/2008 15:00,-156.0465511,19.50773741,5/6/2008 15:00,5/6/2008 5:00,5/6/2008,5,2008,spring,5/6/2008,-1,LN,Moderate,La Niña
ZcTag002,5/6/2008 19:00,-156.0490417,19.51707641,5/6/2008 19:00,5/6/2008 9:00,5/6/2008,5,2008,spring,5/6/2008,-1,LN,Moderate,La Niña
ZcTag002,5/6/2008 23:00,-156.0515325,19.52641555,5/6/2008 23:00,5/6/2008 13:00,5/6/2008,5,2008,spring,5/6/2008,-1,LN,Moderate,La Niña
ZcTag002,5/7/2008 3:00,-156.056617,19.54264297,5/7/2008 3:00,5/6/2008 17:00,5/7/2008,5,2008,spring,5/7/2008,-1,LN,Moderate,La Niña
ZcTag002,5/7/2008 7:00,-156.0666372,19.57787726,5/7/2008 7:00,5/6/2008 21:00,5/7/2008,5,2008,spring,5/7/2008,-1,LN,Moderate,La Niña
ZcTag002,5/7/2008 11:00,-156.0768695,19.61399083,5/7/2008 11:00,5/7/2008 1:00,5/7/2008,5,2008,spring,5/7/2008,-1,LN,Moderate,La Niña
ZcTag002,5/7/2008 15:00,-156.0844117,19.64713095,5/7/2008 15:00,5/7/2008 5:00,5/7/2008,5,2008,spring,5/7/2008,-1,LN,Moderate,La Niña
ZcTag002,5/7/2008 19:00,-156.0838994,19.63243008,5/7/2008 19:00,5/7/2008 9:00,5/7/2008,5,2008,spring,5/7/2008,-1,LN,Moderate,La Niña
ZcTag002,5/7/2008 23:00,-156.0777978,19.58404638,5/7/2008 23:00,5/7/2008 13:00,5/7/2008,5,2008,spring,5/7/2008,-1,LN,Moderate,La Niña
ZcTag002,5/8/2008 3:00,-156.0705204,19.53086727,5/8/2008 3:00,5/7/2008 17:00,5/8/2008,5,2008,spring,5/8/2008,-1,LN,Moderate,La Niña
ZcTag002,5/8/2008 7:00,-156.0554391,19.46807207,5/8/2008 7:00,5/7/2008 21:00,5/8/2008,5,2008,spring,5/8/2008,-1,LN,Moderate,La Niña
ZcTag002,5/8/2008 11:00,-156.0402903,19.40519086,5/8/2008 11:00,5/8/2008 1:00,5/8/2008,5,2008,spring,5/8/2008,-1,LN,Moderate,La Niña
ZcTag002,5/8/2008 15:00,-156.0251412,19.34233065,5/8/2008 15:00,5/8/2008 5:00,5/8/2008,5,2008,spring,5/8/2008,-1,LN,Moderate,La Niña
ZcTag002,5/8/2008 19:00,-155.9840945,19.27923043,5/8/2008 19:00,5/8/2008 9:00,5/8/2008,5,2008,spring,5/8/2008,-1,LN,Moderate,La Niña
ZcTag002,5/8/2008 23:00,-155.9559861,19.17897218,5/8/2008 23:00,5/8/2008 13:00,5/8/2008,5,2008,spring,5/8/2008,-1,LN,Moderate,La Niña
ZcTag002,5/9/2008 3:00,-155.9604923,19.05635697,5/9/2008 3:00,5/8/2008 17:00,5/9/2008,5,2008,spring,5/9/2008,-1,LN,Moderate,La Niña
ZcTag002,5/9/2008 7:00,-155.9556468,19.03370325,5/9/2008 7:00,5/8/2008 21:00,5/9/2008,5,2008,spring,5/9/2008,-1,LN,Moderate,La Niña
ZcTag002,5/9/2008 11:00,-155.9508013,19.01106082,5/9/2008 11:00,5/9/2008 1:00,5/9/2008,5,2008,spring,5/9/2008,-1,LN,Moderate,La Niña
ZcTag002,5/9/2008 15:00,-155.9459567,18.9884192,5/9/2008 15:00,5/9/2008 5:00,5/9/2008,5,2008,spring,5/9/2008,-1,LN,Moderate,La Niña
ZcTag002,5/9/2008 19:00,-155.9402427,18.96690238,5/9/2008 19:00,5/9/2008 9:00,5/9/2008,5,2008,spring,5/9/2008,-1,LN,Moderate,La Niña
ZcTag002,5/9/2008 23:00,-155.9338073,18.94631907,5/9/2008 23:00,5/9/2008 13:00,5/9/2008,5,2008,spring,5/9/2008,-1,LN,Moderate,La Niña
ZcTag002,5/10/2008 3:00,-155.9273731,18.92573651,5/10/2008 3:00,5/9/2008 17:00,5/10/2008,5,2008,spring,5/10/2008,-1,LN,Moderate,La Niña
ZcTag002,5/10/2008 7:00,-155.9349863,18.93987706,5/10/2008 7:00,5/9/2008 21:00,5/10/2008,5,2008,spring,5/10/2008,-1,LN,Moderate,La Niña
