ratioweekly,tag,week,week_start,month,year
0.058055875,ZcTag013,12/7/10,12/7/10,12,2010
0.065900632,ZcTag013,12/14/10,12/14/10,12,2010
0.036357045,ZcTag013,12/21/10,12/21/10,12,2010
0.010737174,ZcTag013,12/28/10,12/28/10,12,2010
0.1144023,ZcTag013,1/4/11,1/4/11,1,2011
0.009792639,ZcTag013,1/11/11,1/11/11,1,2011
0.001339242,ZcTag013,1/18/11,1/18/11,1,2011
0.478981389,ZcTag002,5/5/08,5/5/08,5,2008
0.062395274,ZcTag002,5/12/08,5/12/08,5,2008
0.086920277,ZcTag003,5/5/08,5/5/08,5,2008
0.194029164,ZcTag003,5/12/08,5/12/08,5,2008
0.062461712,ZcTag003,5/19/08,5/19/08,5,2008
0.016422182,ZcTag003,5/26/08,5/26/08,5,2008
0.084484836,ZcTag006,4/28/09,4/28/09,4,2009
0.072973871,ZcTag006,5/5/09,5/5/09,5,2009
0.017016902,ZcTag006,5/12/09,5/12/09,5,2009
0.005924238,ZcTag006,5/19/09,5/19/09,5,2009
0.023180023,ZcTag006,5/26/09,5/26/09,5,2009
0.218086454,ZcTag008,10/23/09,10/23/09,10,2009
0.083966933,ZcTag008,10/30/09,10/30/09,10,2009
0.083072446,ZcTag008,11/6/09,11/6/09,11,2009
0.008750555,ZcTag008,11/13/09,11/13/09,11,2009
0.148259346,ZcTag009,4/19/10,4/19/10,4,2010
0.023059862,ZcTag009,4/26/10,4/26/10,4,2010
0.148855055,ZcTag012,12/7/10,12/7/10,12,2010
0.134327719,ZcTag012,12/14/10,12/14/10,12,2010
0.065460696,ZcTag012,12/21/10,12/21/10,12,2010
0.204935811,ZcTag018,10/19/11,10/19/11,10,2011
0.060978068,ZcTag018,10/26/11,10/26/11,10,2011
0.015362779,ZcTag018,11/2/11,11/2/11,11,2011
0.003468574,ZcTag018,11/9/11,11/9/11,11,2011
0.005245448,ZcTag018,11/16/11,11/16/11,11,2011
0.20735075,ZcTag033,11/23/14,11/23/14,11,2014
0.131287857,ZcTag033,11/30/14,11/30/14,11,2014
0.013242959,ZcTag044,11/2/15,11/2/15,11,2015
0.00815833,ZcTag044,11/9/15,11/9/15,11,2015
0.038276769,ZcTag044,11/16/15,11/16/15,11,2015
0.007818197,ZcTag044,11/23/15,11/23/15,11,2015
0.118272727,ZcTag044,11/30/15,11/30/15,11,2015
0.0295833,ZcTag044,12/7/15,12/7/15,12,2015
0.013036359,ZcTag044,12/14/15,12/14/15,12,2015
0.004413117,ZcTag044,12/21/15,12/21/15,12,2015
