Island,year,month,mei,period,strength,Blv_sight,Cuv_sight,eff_hours,Blv_sight_100_hr,Cuv_sight_100_hr
HI,2002,4,-0.4,Neutral,Neutral,1,0,40.83333333,2.448979592,0
HI,2002,9,0.7,EN,Weak,1,4,79.33333333,1.260504202,5.042016807
HI,2003,5,-0.5,LN,Weak,1,0,64.58333333,1.548387097,0
HI,2003,10,0.3,Neutral,Neutral,1,5,168.75,0.592592593,2.962962963
HI,2004,9,0.5,EN,Weak,2,2,141.5833333,1.412595644,1.412595644
HI,2004-2005,"11, 12, 1",0.333333333,Neutral,Neutral,4,7,237.42,1.68477803,2.948361553
HI,2006,7,0.2,Neutral,Neutral,0,0,66.66666667,0,0
HI,2006,"11, 12",0.7,EN,Weak,3,8,163.25,1.837672282,4.900459418
HI,2006,"3, 4",-0.7,LN,Weak,4,2,242.84,1.647175095,0.823587547
HI,2007,8,-0.9,LN,Moderate,1,0,113.3333333,0.882352941,0
HI,2008,7,-0.9,LN,Moderate,1,2,158.0833333,0.632577754,1.265155509
HI,2008,12,-1.1,LN,Moderate,0,2,81.58333333,0,2.451481103
HI,2008,"4, 5",-1.15,LN,Moderate,0,2,212.333,0,0.941916706
HI,2009,10,0.6,EN,Weak,1,3,81.25,1.230769231,3.692307692
HI,2009,12,1.1,EN,Moderate,2,5,95.08333333,2.103418054,5.258545136
HI,2009,"4, 5",-0.65,LN,Weak,2,4,128.5,1.556420233,3.112840467
HI,2010,4,0.4,Neutral,Neutral,0,2,95.08333333,0,2.103418054
HI,2010,12,-1.9,LN,Strong,0,1,97.25,0,1.028277635
HI,2010,"7, 8",-2.5,LN,Strong,2,2,160.33,1.247427181,1.247427181
HI,2011,5,-1.3,LN,Moderate,1,0,69.83333333,1.431980907,0
HI,2011,"8, 10, 11",-1.2,LN,Moderate,2,8,375.83333,0.532150781,2.128603123
HI,2012,8,0,Neutral,Neutral,0,1,278.5,0,0.359066427
HI,2012,5,-0.4,Neutral,Neutral,6,4,145,4.137931034,2.75862069
HI,2013,5,-0.9,LN,Moderate,0,2,144.6666667,0,1.382488479
HI,2013,10,-0.2,Neutral,Neutral,1,4,116,0.862068966,3.448275862
HI,2014,7,0.4,Neutral,Neutral,2,1,90.33333333,2.21402214,1.10701107
HI,2014,11,0.3,Neutral,Neutral,0,4,158.4166667,0,2.524986849
HI,2015,4,0.5,EN,Weak,3,0,114,2.631578947,0
HI,2015,11,1.9,EN,Strong,1,2,105.8333333,0.94488189,1.88976378
HI,2016,"7, 9",-0.4,Neutral,Neutral,1,1,118.5067,0.843834146,0.843834146
HI,2017,6,-0.6,LN,Weak,0,0,100.1666667,0,0
HI,2017,10,-0.6,LN,Weak,0,0,61.75,0,0
HI,2018,4,-1.3,LN,Moderate,0,0,67,0,0
HI,2018,11,0.2,Neutral,Neutral,1,0,71.33333333,1.401869159,0
HI,2019,4,0.3,Neutral,Neutral,1,2,57.33333333,1.744186047,3.488372093
HI,2019,11,0.4,Neutral,Neutral,2,4,91.41666667,2.187784868,4.375569736
HI,2020,6-10,-1,LN,Moderate,1,4,167.4999,0.597015282,2.388061127
HI,2021,"3, 5",-1,LN,Moderate,4,0,170.5833333,2.344894969,0
HI,2021,11,-1.4,LN,Moderate,0,4,88.41666667,0,4.52403393
HI,2022,6,-2.1,LN,Strong,0,0,52.83333333,0,0
HI,2022,10,-1.7,LN,Moderate,1,3,68.66666667,1.45631068,4.368932039
