Year,1,2,3,4,5,6,7,8,9,10,11,12
2000,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2001,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2002,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Neutral,Warm
2003,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
2004,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
2005,Warm,Warm,Warm,Warm,Warm,Warm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2006,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2007,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2008,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2009,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2010,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2011,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2012,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2013,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2014,Cold,Cold,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
2015,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
2016,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Neutral,Neutral,Neutral,Neutral,Neutral
2017,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2018,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2019,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2020,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2021,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
2022,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold,Cold
