"","Year","month","PDO_values","id"
"1.1",2000,1,-2.2,1
"2.1",2001,1,0.48,2
"3.1",2002,1,-0.42,3
"4.1",2003,1,1.45,4
"5.1",2004,1,-0.55,5
"6.1",2005,1,-0.15,6
"7.1",2006,1,0.54,7
"8.1",2007,1,-0.69,8
"9.1",2008,1,-1.5,9
"10.1",2009,1,-1.81,10
"11.1",2010,1,0.05,11
"12.1",2011,1,-1.8,12
"13.1",2012,1,-1.85,13
"14.1",2013,1,-1.1,14
"15.1",2014,1,-0.57,15
"16.1",2015,1,1.51,16
"17.1",2016,1,0.75,17
"18.1",2017,1,-0.05,18
"19.1",2018,1,0.39,19
"20.1",2019,1,-0.34,20
"21.1",2020,1,-1.41,21
"22.1",2021,1,-0.61,22
"23.1",2022,1,-2.4,23
"1.2",2000,2,-1.28,1
"2.2",2001,2,-0.01,2
"3.2",2002,2,-1.51,3
"4.2",2003,2,1.23,4
"5.2",2004,2,-0.21,5
"6.2",2005,2,-0.01,6
"7.2",2006,2,0.38,7
"8.2",2007,2,-0.71,8
"9.2",2008,2,-1.46,9
"10.2",2009,2,-1.78,10
"11.2",2010,2,0.25,11
"12.2",2011,2,-1.46,12
"13.2",2012,2,-1.35,13
"14.2",2013,2,-1.42,14
"15.2",2014,2,-0.42,15
"16.2",2015,2,1.52,16
"17.2",2016,2,1.29,17
"18.2",2017,2,-0.01,18
"19.2",2018,2,-0.08,19
"20.2",2019,2,-0.72,20
"21.2",2020,2,-1.48,21
"22.2",2021,2,-1.1,22
"23.2",2022,2,-1.91,23
"1.3",2000,3,-0.66,1
"2.3",2001,3,-0.41,2
"3.3",2002,3,-1.27,3
"4.3",2003,3,1.01,4
"5.3",2004,3,-0.15,5
"6.3",2005,3,0.7,6
"7.3",2006,3,-0.74,7
"8.3",2007,3,-1.1,8
"9.3",2008,3,-1.26,9
"10.3",2009,3,-2.06,10
"11.3",2010,3,-0.16,11
"12.3",2011,3,-1.28,12
"13.3",2012,3,-1.66,13
"14.3",2013,3,-1.48,14
"15.3",2014,3,0.3,15
"16.3",2015,3,1.33,16
"17.3",2016,3,1.56,17
"18.3",2017,3,0.1,18
"19.3",2018,3,-0.71,19
"20.3",2019,3,-0.39,20
"21.3",2020,3,-1.75,21
"22.3",2021,3,-1.68,22
"23.3",2022,3,-1.67,23
"1.4",2000,4,-0.63,1
"2.4",2001,4,-1.18,2
"3.4",2002,4,-1.23,3
"4.4",2003,4,0.36,4
"5.4",2004,4,0,5
"6.4",2005,4,0.28,6
"7.4",2006,4,-0.54,7
"8.4",2007,4,-0.46,8
"9.4",2008,4,-1.79,9
"10.4",2009,4,-2.23,10
"11.4",2010,4,-0.04,11
"12.4",2011,4,-1.02,12
"13.4",2012,4,-1.01,13
"14.4",2013,4,-0.72,14
"15.4",2014,4,0.36,15
"16.4",2015,4,0.9,16
"17.4",2016,4,1.74,17
"18.4",2017,4,0.56,18
"19.4",2018,4,-0.81,19
"20.4",2019,4,0.1,20
"21.4",2020,4,-1.32,21
"22.4",2021,4,-1.85,22
"23.4",2022,4,-2.1,23
"1.5",2000,5,-0.81,1
